상호명,지점명,시도명,시군구명,도로명주소
스타벅스,이천하이닉스점,경기도,이천시,경기도 이천시 부발읍 경충대로 2100
스타벅스경기광주점,경기광주점,경기도,광주시,경기도 광주시 광주대로 35
스타벅스,의왕청계DT점,경기도,의왕시,경기도 의왕시 안양판교로 246
스타벅스,광교갤러리아9F점,경기도,수원시 영통구,경기도 수원시 영통구 광교중앙로 124
스타벅스,화성봉담DT점,경기도,화성시,경기도 화성시 효행로 217-2
스타벅스,도농역점,경기도,남양주시,경기도 남양주시 미금로 239
스타벅스,다산진건점,경기도,남양주시,경기도 남양주시 다산중앙로123번길 22-26
스타벅스,판교알파돔타워점,경기도,성남시 분당구,경기도 성남시 분당구 판교역로 152
스타벅스,화정점,경기도,고양시 덕양구,경기도 고양시 덕양구 화신로272번길 57
스타벅스,스타필드안성R점,경기도,안성시,경기도 안성시 공도읍 서동대로 3980
스타벅스,오산세교점,경기도,오산시,경기도 오산시 수청로 193
스타벅스,풍무사거리DT점,경기도,김포시,경기도 김포시 풍무로 137
스타벅스,양주고읍DT점,경기도,양주시,경기도 양주시 고덕로 351
스타벅스아주대병원점,아주대병원점,경기도,수원시 영통구,경기도 수원시 영통구 월드컵로 164
스타벅스,고양행신점,경기도,고양시 덕양구,경기도 고양시 덕양구 충장로 126
스타벅스,화성반월DT점,경기도,화성시,경기도 화성시 효행로 1243-1
스타벅스,호계지식산업센터점,경기도,안양시 동안구,경기도 안양시 동안구 엘에스로 122
스타벅스,김포구래점,경기도,김포시,경기도 김포시 김포한강4로 487
스타벅스,삼송역점,경기도,고양시 덕양구,경기도 고양시 덕양구 동송로 70
스타벅스,더양평DTR점,경기도,양평군,경기도 양평군 양평읍 양근로 76
스타벅스,신세계죽전점,경기도,용인시 수지구,경기도 용인시 수지구 포은대로 536
스타벅스,원흥역점,경기도,고양시 덕양구,경기도 고양시 덕양구 원흥5로 25
스타벅스,수원연무DT점,경기도,수원시 장안구,경기도 수원시 장안구 창룡대로 171
스타벅스,평촌역DT점,경기도,안양시 동안구,경기도 안양시 동안구 시민대로 373
스타벅스,배곧아브뉴프랑점,경기도,시흥시,경기도 시흥시 서울대학로278번길 26
스타벅스,안양1번가점,경기도,안양시 만안구,경기도 안양시 만안구 안양로292번길 36
스타벅스,소노캄고양점,경기도,고양시 일산동구,경기도 고양시 일산동구 태극로 18
스타벅스,용인에버랜드R점,경기도,용인시 처인구,경기도 용인시 처인구 포곡읍 에버랜드로 199
스타벅스,경기광주송정DT점,경기도,광주시,경기도 광주시 경안천로 118
스타벅스의정부녹양DT점,의정부녹양DT점,경기도,의정부시,경기도 의정부시 비우로 119
스타벅스,화성시청점,경기도,화성시,경기도 화성시 남양읍 시청로 113
스타벅스,김포아이앤씨점,경기도,김포시,경기도 김포시 태장로 779
스타벅스,안성공도DT점,경기도,안성시,경기도 안성시 공도읍 서동대로 4489
스타벅스,화성봉담점,경기도,화성시,경기도 화성시 봉담읍 동화길 51
스타벅스,동탄호수공원점,경기도,화성시,경기도 화성시 동탄대로 181
스타벅스,평택안중DT점,경기도,평택시,경기도 평택시 안중읍 서동대로 1459
스타벅스,안양역R점,경기도,안양시 만안구,경기도 안양시 만안구 만안로 230
스타벅스,수원호매실점,경기도,수원시 권선구,경기도 수원시 권선구 서수원로577번길 305
스타벅스,미사역효성점,경기도,하남시,경기도 하남시 아리수로 570
스타벅스,수원경수인계DT점,경기도,수원시 팔달구,경기도 수원시 팔달구 경수대로 499
스타벅스,시흥대야DT점,경기도,시흥시,경기도 시흥시 뱀내장터로 27
스타벅스,풍무역DT점,경기도,김포시,경기도 김포시 김포대로 657
