광역시도,시군구,20-39세계,20-39세남자,20-39세여자,65세이상계,65세이상남자,65세이상여자,인구수계,인구수남자,인구수여자,소멸비율,소멸위기지역,소멸위기고위험지역
경기도,평택시,148888,80991,67898,62366,26701,35665,518514,268145,250369,1.0887021774684924,False,False
경기도,포천시,32429,18357,14073,28098,12692,15408,146290,77250,69040,0.5008541533205211,False,False
경기도,하남시,82406,41928,40480,35077,16297,18781,280941,141222,139719,1.1540325569461471,False,False
경기도,화성시,250612,132069,118544,72273,32394,39879,832227,431380,400847,1.6402252570116087,False,False
경상남도,거제시,62844,34037,28808,25701,11332,14369,245675,128767,116908,1.1208902377339403,False,False
경상남도,거창군,11142,6164,4979,16720,6538,10183,61478,30048,31431,0.29778708133971293,True,False
경상남도,고성군,8064,4582,3482,15730,6378,9354,51428,25796,25632,0.2213604577240941,True,False
경상남도,김해시,139958,73877,66083,59060,25126,33936,539477,272737,266740,1.1189129698611582,False,False
경상남도,남해군,5851,3331,2521,16050,6244,9808,43005,20711,22294,0.15707165109034268,True,True
경상남도,마산합포구,40335,21795,18541,36206,15472,20734,175083,87177,87906,0.5120974424128597,False,False
경상남도,마산회원구,44890,24201,20690,32212,14295,17919,191188,95972,95216,0.6423072147025953,False,False
경상남도,밀양시,18384,10128,8256,28928,11813,17115,104301,51099,53202,0.2853982300884956,True,False
경상남도,사천시,23089,13043,10047,23840,9639,14203,110680,55844,54836,0.4214345637583893,True,False
경상남도,산청군,4759,2644,2116,12547,5053,7496,34845,17098,17747,0.16864589144815495,True,True
경상남도,성산구,63082,34293,28789,17468,8008,9463,216963,110802,106161,1.6480993817265857,False,False
경상남도,양산시,91513,47855,43658,46295,20149,26149,350004,175497,174508,0.9430392050977427,False,False
경상남도,의령군,3909,2132,1777,9777,3765,6014,26832,13114,13719,0.18175309399611334,True,True
경상남도,의창구,71166,38525,32642,31716,14236,17481,259218,131772,127446,1.0291966200025224,False,False
경상남도,진주시,86859,46032,40828,57119,23476,33643,346176,171211,174966,0.7147884241670898,False,False
