광역시도,시군구,행정구,구분,인구수,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
전라북도, 무주군,,계,24069 ,477 ,766 ,904 ,940 ,978 ,870 ,779 ,964 ,1245 ,1657 ,1976 ,2248 ,2317 ,1966 ,1644 ,1749 ,2591 ,1487 ,1105 ,771 ,259 ,61 ,14 
전라북도, 무주군,,남자,11977 ,243 ,417 ,455 ,485 ,555 ,471 ,434 ,516 ,687 ,947 ,1111 ,1213 ,1216 ,963 ,736 ,686 ,846 ,543 ,304 ,231 ,58 ,13 ,3 
전라북도, 무주군,,여자,12092 ,234 ,349 ,449 ,456 ,423 ,399 ,345 ,448 ,558 ,711 ,866 ,1035 ,1102 ,1004 ,909 ,1063 ,1745 ,944 ,801 ,540 ,202 ,48 ,12 
전라북도, 장수군,,계,22159 ,461 ,736 ,823 ,864 ,948 ,775 ,726 ,896 ,1130 ,1470 ,1742 ,2011 ,2183 ,1916 ,1552 ,1566 ,2363 ,1349 ,1014 ,726 ,229 ,51 ,9 
전라북도, 장수군,,남자,11037 ,244 ,375 ,417 ,438 ,517 ,440 ,371 ,479 ,662 ,831 ,997 ,1109 ,1120 ,958 ,750 ,590 ,744 ,441 ,303 ,238 ,53 ,11 ,2 
전라북도, 장수군,,여자,11122 ,217 ,362 ,406 ,426 ,432 ,335 ,355 ,418 ,468 ,640 ,745 ,902 ,1063 ,959 ,802 ,976 ,1620 ,908 ,712 ,489 ,176 ,40 ,8 
전라북도, 임실군,,계,27928 ,707 ,727 ,841 ,944 ,1181 ,1118 ,990 ,1098 ,1290 ,1691 ,2219 ,2597 ,2694 ,2199 ,2162 ,2122 ,3351 ,1910 ,1442 ,1018 ,357 ,51 ,17 
전라북도, 임실군,,남자,14241 ,384 ,381 ,432 ,515 ,696 ,638 ,538 ,604 ,790 ,1018 ,1259 ,1465 ,1466 ,1132 ,1020 ,840 ,1067 ,666 ,401 ,302 ,89 ,7 ,4 
전라북도, 임실군,,여자,13688 ,323 ,347 ,410 ,429 ,486 ,480 ,452 ,494 ,500 ,673 ,961 ,1133 ,1228 ,1068 ,1143 ,1283 ,2285 ,1244 ,1041 ,716 ,268 ,44 ,13 
전라북도, 순창군,,계,27930 ,822 ,780 ,1066 ,1194 ,1200 ,939 ,911 ,1193 ,1410 ,1922 ,2145 ,2410 ,2611 ,2065 ,2061 ,2146 ,3058 ,1815 ,1243 ,870 ,286 ,76 ,11 
전라북도, 순창군,,남자,13575 ,412 ,416 ,552 ,605 ,667 ,496 ,429 ,597 ,783 ,1121 ,1192 ,1287 ,1368 ,998 ,924 ,769 ,962 ,617 ,345 ,253 ,79 ,13 ,0 
전라북도, 순창군,,여자,14356 ,411 ,364 ,515 ,589 ,533 ,444 ,483 ,596 ,627 ,801 ,953 ,1123 ,1243 ,1067 ,1137 ,1377 ,2096 ,1198 ,898 ,617 ,207 ,63 ,11 
전라북도, 고창군,,계,54579 ,1124 ,1669 ,1868 ,2469 ,2460 ,1953 ,1722 ,2213 ,2599 ,3655 ,4292 ,4816 ,5268 ,4178 ,4163 ,4216 ,5918 ,3358 ,2561 ,1787 ,624 ,131 ,20 
전라북도, 고창군,,남자,27019 ,593 ,888 ,981 ,1378 ,1396 ,1091 ,917 ,1213 ,1477 ,2101 ,2417 ,2540 ,2665 ,2019 ,1927 ,1641 ,1781 ,1132 ,649 ,514 ,117 ,18 ,1 
전라북도, 고창군,,여자,27560 ,531 ,782 ,887 ,1091 ,1064 ,862 ,806 ,1000 ,1123 ,1554 ,1875 ,2276 ,2603 ,2159 ,2236 ,2576 ,4138 ,2226 ,1912 ,1273 ,508 ,113 ,19 
전라북도, 부안군,,계,52251 ,1111 ,1553 ,1663 ,2172 ,2461 ,1937 ,1721 ,2298 ,2633 ,3537 ,4113 ,4796 ,5200 ,4231 ,4002 ,3615 ,5213 ,2991 ,2222 ,1630 ,485 ,89 ,19 
전라북도, 부안군,,남자,25966 ,580 ,815 ,836 ,1195 ,1346 ,1092 ,963 ,1218 ,1480 ,2002 ,2340 ,2495 ,2665 ,2050 ,1867 ,1420 ,1606 ,1043 ,563 ,446 ,98 ,19 ,1 
