공식명칭,위도,경도,빈도
1158족욕카페,33.4670749083624,126.336504121082,1
702키친,33.4988349625909,126.534134232309,1
가드망제,33.5009907353319,126.532953970928,1
가시식당,33.3530600681391,126.771437983288,2
가시아방국수,33.43860508447686,126.91806478438669,3
갈치왕,33.2646549136212,126.39076081925536,1
감성밥집 바다의집,33.462113543084605,126.91003949542915,1
강식당,33.39845758984032,126.24398025776524,1
강정포구,33.2271155064362,126.475561352176,1
개똥이동물원,33.494842174629014,126.62305569923431,1
객의하우스,33.3966974057988,126.243341989448,1
거멍국수,33.24437894131444,126.30440962206518,1
검은여식당,33.33683892000768,126.82787761772049,1
게으른날,33.2672973823424,126.200825295573,1
고근산,33.26679186408771,126.51287193493305,2
고기마씸,33.4943095729464,126.527626661226,1
고래배꼽,33.4804484298816,126.403430604615,12
고로케야,33.5045700446099,126.539211190265,1
고불락,33.4667148876518,126.336618739754,1
고요남 제주점,33.4928273609165,126.543995163483,1
고집돌우럭 중문점,33.2579811121134,126.416704762779,21
골목카페옥수,33.4397509795262,126.379977434507,1
곰막,33.55686867414115,126.72050964727606,1
공천포식당,33.2663875765224,126.642586419037,1
과일애,33.4926676632912,126.537879671093,1
곽지해수욕장,33.4506575078278,126.304673157235,6
관덕정,33.5133491505552,126.52145710447,1
관음사,33.423740261241775,126.55812368447738,1
광원,33.4726484568945,126.484776330528,1
광치기해변,33.452086460427,126.92449048608,8
괜찮은술책,33.4925688884973,126.895074279461,1
교래손칼국수,33.43610297872,126.676080314629,1
구좌상회작업실,33.556154038869,126.79267214250753,2
구좌지앵,33.49540702573199,126.90617413482926,3
국수바다 본점,33.258556015179735,126.40596921682707,1
국수의전설,33.2634994170382,126.610392199063,1
군산,33.2531331789113,126.369962483511,2
귀덕1리사무소,33.43606137643769,126.29804934490896,1
규태네양곱창 본점,33.4862281727332,126.486060276427,1
귤밭76번지,33.2830603796245,126.365148802876,1
그계절,33.5318587572743,126.818530919106,2
그러므로 파트2,33.4685648061968,126.485956399087,2
그리울땐제주,33.3009552852259,126.770581869754,2
그초록,33.556371873321886,126.80637467892444,2
금능반지하,33.3910566644317,126.228631952401,1
금능샌드,33.38922134655233,126.23246355983767,1
금능해수욕장,33.3904488156321,126.235889902253,3
기억나는집,33.2450792298239,126.562188072497,1
김녕미로공원,33.5365318809526,126.772235329263,10
김녕장게스트하우스,33.5565466392379,126.74949548265,1
김녕함바그집,33.5568180112503,126.755352846145,1
김녕해수욕장,33.5574388587079,126.759313988844,2
김녕회관,33.5558706714433,126.75592840283,2
김영갑갤러리두모악,33.3718952325506,126.854135898752,2
김재훈고사리육개장,33.487960950923195,126.53392346271185,2
까망고띠,33.4849894486807,126.699574170333,1
까망돼지 서귀포점,33.2551186394462,126.577496804279,2
깡촌흑돼지,33.541274383213,126.667135470078,1
꽃돼지연탄구이,33.2420747813875,126.443887961606,1
꽃밥,33.4515119957481,126.30850384571,1
꿈꾸는고래,33.2355003675534,126.51274081796,4
나도섬이다,33.5419444853242,126.665543725269,1
나원횟집,33.2497176227966,126.567457350132,1
나인브릿지 컨트리클럽,33.3417994043171,126.405417553152,2
낙지로,33.4886210266593,126.494395960969,1
난드르바당,33.23461201631795,126.37101372709705,2
난장게스트하우스,33.5153324500807,126.526095975281,2
날씬흑돼지,33.23816061674081,126.30652959392029,1
내츄럴케이,33.504596308081,126.542405237573,1
네이처트레일,33.3826154100218,126.22535350484,1
노라바,33.4827924545002,126.376305449139,5
노리매,33.283114676288,126.287339303265,1
노형하이클래스 공인중개사사무소,33.48340031411282,126.47925335056136,1
녹근로33,33.415729677720606,126.31433507124518,4
농업회사법인 주식회사갈중이,33.2350985952254,126.313658360193,2
누웨마루거리,33.48601183492031,126.490657044139,14
뉴저지카페,33.3203122195054,126.264600429182,2
느영나영게스트하우스,33.3007496994456,126.766699879038,9
늘좋은하루,33.4755827339702,126.371894536387,3
니모메,33.4937012322846,126.430921435914,1
다다의작은공간,33.4414316635391,126.377840456271,2
다람쥐식탁,33.407777400971,126.26576483715,3
다랑쉬오름,33.47768585996772,126.82153592461563,3
다래향,33.5458153322043,126.660687856748,1
다미진횟집,33.3251030257766,126.84402800587,2
다이브스테이,33.2536861514236,126.619741905076,1
다희연,33.47927560935631,126.70053208149571,2
단추스테이,33.3882062850025,126.223786376762,1
달달콤콤,33.2622360636154,126.620541983252,1
달사막,33.54194675045801,126.67246244711085,1
닭머르,33.535596951169,126.61225075320483,1
담아래,33.4694420177122,126.487296470869,1
담앤루,33.2458847938442,126.45154666031,1
대굴대굴굴구이,33.4919924989596,126.487257224969,1
대기정,33.2402922401071,126.428564629713,1
대돈,33.5158651251043,126.52676040608,1
대우정,33.4989236665696,126.519586532616,3
대춘해장국 본점,33.48042109382529,126.52377283761113,1
대포주상절리대,33.23799399299591,126.42601744245376,5
대한불교조계종천왕사,33.4077755342533,126.495036830191,2
더마파크,33.3541302527818,126.244325028489,3
덕수하루,33.2525077247562,126.304701487473,1
덕승식당,33.2192664935737,126.251180315246,1
덕인당소락 3호점,33.4830458916798,126.543732249643,1
덤장 중문점,33.2577350437998,126.408133975318,2
도두항,33.5073979938833,126.466549956171,2
도라지식당,33.49271396024,126.505946262613,1
도토리키친,33.51538650964344,126.51860434812481,1
독개물항,33.4018902224406,126.251612539436,1
